"id";"skill";"skill_type"
1048.0;"Analyzing";"soft"
1052.0;"Analyzing";"soft"
1054.0;"Analyzing";"soft"
1058.0;"Analyzing";"soft"
1061.0;"Analyzing";"soft"
1067.0;"Analyzing";"soft"
1086.0;"Analyzing";"soft"
1103.0;"Analyzing";"soft"
1110.0;"Analyzing";"soft"
1115.0;"Analyzing";"soft"
1121.0;"Analyzing";"soft"
1124.0;"Analyzing";"soft"
1127.0;"Analyzing";"soft"
1129.0;"Analyzing";"soft"
1140.0;"Analyzing";"soft"
1142.0;"Analyzing";"soft"
1151.0;"Analyzing";"soft"
1156.0;"Analyzing";"soft"
1158.0;"Analyzing";"soft"
1159.0;"Analyzing";"soft"
1161.0;"Analyzing";"soft"
1178.0;"Analyzing";"soft"
1189.0;"Analyzing";"soft"
1191.0;"Analyzing";"soft"
1198.0;"Analyzing";"soft"
1201.0;"Analyzing";"soft"
1203.0;"Analyzing";"soft"
1210.0;"Analyzing";"soft"
1212.0;"Analyzing";"soft"
1217.0;"Analyzing";"soft"
1226.0;"Analyzing";"soft"
1231.0;"Analyzing";"soft"
1238.0;"Analyzing";"soft"
1239.0;"Analyzing";"soft"
1240.0;"Analyzing";"soft"
1242.0;"Analyzing";"soft"
1243.0;"Analyzing";"soft"
1244.0;"Analyzing";"soft"
1251.0;"Analyzing";"soft"
1259.0;"Analyzing";"soft"
1264.0;"Analyzing";"soft"
1277.0;"Analyzing";"soft"
1288.0;"Analyzing";"soft"
1290.0;"Analyzing";"soft"
1293.0;"Analyzing";"soft"
1294.0;"Analyzing";"soft"
1313.0;"Analyzing";"soft"
1330.0;"Analyzing";"soft"
1334.0;"Analyzing";"soft"
1335.0;"Analyzing";"soft"
1345.0;"Analyzing";"soft"
1347.0;"Analyzing";"soft"
1351.0;"Analyzing";"soft"
1359.0;"Analyzing";"soft"
1365.0;"Analyzing";"soft"
1380.0;"Analyzing";"soft"
1385.0;"Analyzing";"soft"
1387.0;"Analyzing";"soft"
1388.0;"Analyzing";"soft"
1396.0;"Analyzing";"soft"
1398.0;"Analyzing";"soft"
1399.0;"Analyzing";"soft"
1404.0;"Analyzing";"soft"
1408.0;"Analyzing";"soft"
1413.0;"Analyzing";"soft"
1422.0;"Analyzing";"soft"
1437.0;"Analyzing";"soft"
1438.0;"Analyzing";"soft"
1448.0;"Analyzing";"soft"
1450.0;"Analyzing";"soft"
1458.0;"Analyzing";"soft"
1460.0;"Analyzing";"soft"
1464.0;"Analyzing";"soft"
1468.0;"Analyzing";"soft"
1470.0;"Analyzing";"soft"
